ID_Engajamento,ID_Cliente,Data_Engajamento,Tipo_Engajamento,Rede_Social
1,249426,2024-03-06,compartilhamento,Twitter
2,135490,2024-04-16,curtida,Twitter
3,274371,2023-09-28,comentario,Instagram
4,230111,2024-04-16,curtida,Facebook
5,57121,2023-05-11,curtida,Twitter
6,29408,2023-12-02,compartilhamento,Instagram
7,240928,2024-04-21,curtida,Twitter
8,97225,2023-03-13,comentario,Twitter
9,285797,2024-04-18,comentario,Facebook
10,253278,2023-07-29,curtida,Instagram
11,186481,2023-09-19,curtida,Instagram
12,150850,2023-12-25,comentario,Twitter
13,281174,2023-09-02,comentario,Facebook
14,297629,2023-06-04,comentario,Facebook
15,36937,2023-08-01,comentario,Facebook
16,235841,2023-10-18,comentario,Instagram
17,236752,2022-10-06,curtida,Facebook
18,144167,2023-09-11,comentario,Facebook
19,56098,2023-11-27,compartilhamento,Instagram
20,76476,2023-11-17,curtida,Instagram
21,246055,2024-04-01,curtida,Facebook
22,149895,2024-04-06,curtida,Twitter
23,250822,2023-06-01,compartilhamento,Facebook
24,111404,2024-03-22,compartilhamento,Facebook
25,198301,2022-09-02,comentario,Facebook
26,77418,2022-12-23,compartilhamento,Instagram
27,179697,2024-05-03,compartilhamento,Facebook
28,253567,2024-02-16,curtida,Twitter
29,238818,2023-06-24,comentario,Twitter
30,34972,2024-06-10,compartilhamento,Twitter
31,251852,2023-01-09,curtida,Instagram
32,219563,2024-03-12,compartilhamento,Facebook
33,173503,2024-03-17,compartilhamento,Instagram
34,207013,2023-01-17,curtida,Facebook
35,282994,2024-06-07,curtida,Facebook
36,199380,2023-03-07,curtida,Twitter
37,175800,2024-05-25,comentario,Twitter
38,110661,2024-03-14,compartilhamento,Facebook
39,299754,2024-05-16,compartilhamento,Facebook
40,23209,2023-10-31,curtida,Instagram
41,234724,2024-04-06,comentario,Facebook
42,23346,2024-04-11,comentario,Facebook
43,158639,2024-06-02,curtida,Twitter
44,299242,2024-05-11,compartilhamento,Twitter
45,274776,2024-01-08,comentario,Instagram
46,5596,2023-03-16,compartilhamento,Twitter
47,15136,2022-12-19,comentario,Facebook
48,151415,2024-04-06,compartilhamento,Twitter
49,110476,2023-07-25,comentario,Instagram
50,261550,2024-02-28,curtida,Facebook
51,112870,2022-06-30,curtida,Twitter
52,110812,2022-08-29,comentario,Facebook
53,180476,2024-06-13,comentario,Instagram
54,294854,2022-04-10,comentario,Instagram
55,190514,2024-04-27,compartilhamento,Instagram
56,256040,2023-09-16,compartilhamento,Facebook
57,236259,2022-08-13,compartilhamento,Instagram
58,245773,2023-07-01,curtida,Twitter
59,156664,2024-06-04,comentario,Twitter
60,80622,2024-03-14,curtida,Instagram
61,296164,2024-03-06,curtida,Facebook
62,120744,2023-01-15,compartilhamento,Instagram
63,183874,2022-10-19,comentario,Instagram
64,287286,2023-03-06,comentario,Facebook
65,181584,2023-09-30,curtida,Twitter
66,255557,2022-09-10,compartilhamento,Instagram
67,151792,2023-06-12,compartilhamento,Twitter
68,179449,2023-04-20,comentario,Instagram
69,121894,2023-09-25,curtida,Facebook
70,134299,2024-06-06,compartilhamento,Twitter
71,47467,2022-03-02,curtida,Twitter
72,286352,2023-12-23,compartilhamento,Instagram
73,24027,2024-03-03,comentario,Twitter
74,12955,2023-06-25,comentario,Twitter
75,157761,2023-09-05,curtida,Facebook
76,205157,2024-06-04,curtida,Instagram
77,229725,2023-09-18,comentario,Instagram
78,25831,2024-05-06,compartilhamento,Facebook
79,243000,2024-02-12,curtida,Twitter
80,158176,2022-11-27,comentario,Twitter
81,214128,2024-06-13,comentario,Twitter
82,148692,2024-06-09,curtida,Twitter
83,183490,2024-03-14,comentario,Instagram
84,87393,2023-03-31,comentario,Instagram
85,190280,2022-11-24,comentario,Instagram
86,93217,2024-03-10,compartilhamento,Facebook
87,189658,2023-11-07,curtida,Twitter
88,242579,2024-05-02,comentario,Facebook
89,274327,2022-06-04,compartilhamento,Facebook
90,57719,2024-03-27,curtida,Facebook
91,216837,2023-12-21,curtida,Instagram
92,160766,2023-05-22,compartilhamento,Twitter
93,285549,2023-05-01,compartilhamento,Facebook
94,53139,2023-12-07,compartilhamento,Facebook
95,238976,2024-05-07,compartilhamento,Facebook
96,150837,2023-11-14,curtida,Instagram
97,144863,2024-06-07,compartilhamento,Instagram
98,96959,2024-04-24,compartilhamento,Instagram
99,109166,2023-02-02,comentario,Twitter
100,123307,2024-05-12,curtida,Twitter
101,142289,2024-04-18,curtida,Instagram
102,92083,2024-01-15,comentario,Facebook
103,264379,2023-06-14,comentario,Twitter
104,116274,2024-03-28,curtida,Facebook
105,281087,2023-11-22,compartilhamento,Facebook
106,41130,2022-11-25,comentario,Twitter
107,169232,2023-06-29,curtida,Facebook
108,89984,2022-12-24,curtida,Facebook
