ID_Loja,Nome_Loja,Cidade,Pais,Regiao
1,Loja 1,Berlim,China,Outros
2,Loja 2,Berlim,França,Outros
3,Loja 3,Johannesburg,Brasil,Centro-Oeste
4,Loja 4,Tóquio,Espanha,Outros
5,Loja 5,Nairobi,Espanha,Outros
6,Loja 6,Cingapura,Peru,Outros
7,Loja 7,Kuala Lumpur,Peru,Outros
8,Loja 8,Nairobi,Rússia,Outros
9,Loja 9,Cingapura,Estados Unidos,Sul
10,Loja 10,Buenos Aires,Canadá,Quebec
11,Loja 11,Katmandu,Portugal,Outros
12,Loja 12,Berlim,México,Norte
13,Loja 13,Kinshasa,Austrália,Outros
14,Loja 14,Sydney,China,Outros
15,Loja 15,Toronto,Coreia do Sul,Outros
16,Loja 16,Jacarta,Peru,Outros
17,Loja 17,São Paulo,Turquia,Outros
18,Loja 18,Dakar,Rússia,Outros
19,Loja 19,Sydney,Espanha,Outros
20,Loja 20,Osaka,Turquia,Outros
21,Loja 21,Cingapura,Espanha,Outros
22,Loja 22,Paris,Estados Unidos,Meio-Oeste
23,Loja 23,Colombo,França,Outros
24,Loja 24,Osaka,Portugal,Outros
25,Loja 25,Bangkok,Reino Unido,Outros
26,Loja 26,Berlim,Estados Unidos,Oeste
27,Loja 27,Seul,França,Outros
28,Loja 28,Osaka,Turquia,Outros
29,Loja 29,Kinshasa,Estados Unidos,Meio-Oeste
30,Loja 30,Colombo,Rússia,Outros
31,Loja 31,Dakar,Coreia do Sul,Outros
32,Loja 32,Kinshasa,Portugal,Outros
33,Loja 33,Nova Deli,Brasil,Nordeste
34,Loja 34,Bangkok,Espanha,Outros
35,Loja 35,Hong Kong,Alemanha,Outros
36,Loja 36,Osaka,Peru,Outros
37,Loja 37,Beirute,China,Outros
38,Loja 38,Colombo,Portugal,Outros
39,Loja 39,Dakar,Chile,Outros
40,Loja 40,Doha,Alemanha,Outros
41,Loja 41,Sydney,Turquia,Outros
42,Loja 42,Hanói,Brasil,Sudeste
43,Loja 43,Damasco,Brasil,Sudeste
44,Loja 44,Taipei,Argentina,Outros
45,Loja 45,Abu Dhabi,Argentina,Outros
46,Loja 46,Pequim,Espanha,Outros
47,Loja 47,Nairobi,China,Outros
48,Loja 48,Cabul,Coreia do Sul,Outros
49,Loja 49,Bogotá,Rússia,Outros
50,Loja 50,Seul,Canadá,Manitoba
51,Loja 51,Kinshasa,Austrália,Outros
52,Loja 52,Doha,Chile,Outros
53,Loja 53,Dakar,Chile,Outros
54,Loja 54,Hong Kong,Índia,Outros
55,Loja 55,Santiago,Chile,Outros
56,Loja 56,Islamabad,Chile,Outros
57,Loja 57,Hong Kong,França,Outros
58,Loja 58,Bagdá,França,Outros
59,Loja 59,Paris,Espanha,Outros
60,Loja 60,Lagos,Itália,Outros
61,Loja 61,Manila,Argentina,Outros
62,Loja 62,Madri,México,Sul
63,Loja 63,Riyadh,Argentina,Outros
64,Loja 64,Riyadh,Brasil,Norte
65,Loja 65,Berlim,Espanha,Outros
66,Loja 66,Casablanca,Austrália,Outros
67,Loja 67,Madri,Coreia do Sul,Outros
68,Loja 68,Lagos,Canadá,Ontário
69,Loja 69,Buenos Aires,México,Sul
70,Loja 70,Dhaka,Alemanha,Outros
71,Loja 71,Islamabad,Coreia do Sul,Outros
72,Loja 72,Trípoli,Alemanha,Outros
73,Loja 73,Phnom Penh,Espanha,Outros
74,Loja 74,Doha,Chile,Outros
75,Loja 75,Cingapura,Peru,Outros
76,Loja 76,Madri,Itália,Outros
77,Loja 77,Rio de Janeiro,Portugal,Outros
78,Loja 78,Islamabad,México,Norte
79,Loja 79,Beirute,Peru,Outros
80,Loja 80,Seul,Reino Unido,Outros
81,Loja 81,Cingapura,Estados Unidos,Oeste
82,Loja 82,Yangon,Portugal,Outros
83,Loja 83,Jerusalém,Austrália,Outros
84,Loja 84,Sydney,Turquia,Outros
85,Loja 85,Nova Deli,Estados Unidos,Oeste
86,Loja 86,Hong Kong,Argentina,Outros
87,Loja 87,Paris,Espanha,Outros
88,Loja 88,Argel,Brasil,Sudeste
89,Loja 89,Túnis,Brasil,Norte
90,Loja 90,Bogotá,Rússia,Outros
91,Loja 91,Bagdá,Austrália,Outros
92,Loja 92,Casablanca,Estados Unidos,Nordeste
93,Loja 93,Nova Deli,Turquia,Outros
94,Loja 94,Roma,Brasil,Nordeste
95,Loja 95,Doha,Argentina,Outros
96,Loja 96,Bangkok,Japão,Outros
97,Loja 97,Cidade do México,Alemanha,Outros
98,Loja 98,Lagos,Espanha,Outros
99,Loja 99,Jerusalém,Argentina,Outros
100,Loja 100,Roma,Portugal,Outros
101,Loja 101,Jerusalém,Brasil,Nordeste
102,Loja 102,Lima,Chile,Outros
103,Loja 103,Yangon,Índia,Outros
104,Loja 104,Kuala Lumpur,Turquia,Outros
105,Loja 105,Lagos,Espanha,Outros
106,Loja 106,Abu Dhabi,Reino Unido,Outros
107,Loja 107,Damasco,Rússia,Outros
108,Loja 108,Santiago,Austrália,Outros
109,Loja 109,Madri,Alemanha,Outros
110,Loja 110,Katmandu,Itália,Outros
111,Loja 111,Lagos,Peru,Outros
112,Loja 112,Rio de Janeiro,Austrália,Outros
113,Loja 113,Dhaka,Rússia,Outros
114,Loja 114,Casablanca,Canadá,Quebec
115,Loja 115,Manila,Alemanha,Outros
116,Loja 116,Buenos Aires,Espanha,Outros
117,Loja 117,Nova York,Rússia,Outros
118,Loja 118,Islamabad,Peru,Outros
119,Loja 119,São Paulo,Argentina,Outros
120,Loja 120,Buenos Aires,Japão,Outros
121,Loja 121,Pequim,Itália,Outros
122,Loja 122,Colombo,Coreia do Sul,Outros
123,Loja 123,Kuala Lumpur,China,Outros
124,Loja 124,Trípoli,França,Outros
125,Loja 125,Santiago,Coreia do Sul,Outros
126,Loja 126,Berlim,Japão,Outros
127,Loja 127,Tóquio,Estados Unidos,Oeste
128,Loja 128,Dubai,Coreia do Sul,Outros
129,Loja 129,Osaka,Estados Unidos,Meio-Oeste
130,Loja 130,Argel,Argentina,Outros
131,Loja 131,Kinshasa,Austrália,Outros
132,Loja 132,Cingapura,Estados Unidos,Nordeste
133,Loja 133,Katmandu,Argentina,Outros
134,Loja 134,Dhaka,Japão,Outros
135,Loja 135,Jacarta,Estados Unidos,Meio-Oeste
136,Loja 136,Katmandu,Japão,Outros
137,Loja 137,Nairobi,Argentina,Outros
138,Loja 138,Amã,Austrália,Outros
139,Loja 139,Bogotá,China,Outros
140,Loja 140,Madri,Alemanha,Outros
141,Loja 141,Buenos Aires,Austrália,Outros
142,Loja 142,Nova Deli,Rússia,Outros
143,Loja 143,Toronto,Portugal,Outros
144,Loja 144,Madri,Argentina,Outros
145,Loja 145,Lima,Coreia do Sul,Outros
146,Loja 146,Jerusalém,Turquia,Outros
147,Loja 147,Hong Kong,Canadá,Colúmbia Britânica
148,Loja 148,Islamabad,Alemanha,Outros
149,Loja 149,Phnom Penh,Portugal,Outros
150,Loja 150,Jacarta,Reino Unido,Outros
151,Loja 151,Damasco,Argentina,Outros
152,Loja 152,Cidade do México,França,Outros
153,Loja 153,Riyadh,Brasil,Centro-Oeste
154,Loja 154,Tóquio,Alemanha,Outros
155,Loja 155,Trípoli,Turquia,Outros
156,Loja 156,Jerusalém,China,Outros
157,Loja 157,Santiago,México,Sul
158,Loja 158,Londres,Rússia,Outros
159,Loja 159,Doha,Japão,Outros
160,Loja 160,Tóquio,China,Outros
161,Loja 161,Seul,Argentina,Outros
162,Loja 162,Mumbai,França,Outros
163,Loja 163,Damasco,Alemanha,Outros
164,Loja 164,Nairobi,Peru,Outros
165,Loja 165,Lagos,Canadá,Ontário
166,Loja 166,Islamabad,Portugal,Outros
167,Loja 167,Yangon,Turquia,Outros
168,Loja 168,Riyadh,França,Outros
169,Loja 169,Bagdá,Turquia,Outros
170,Loja 170,Kyoto,Portugal,Outros
171,Loja 171,Phnom Penh,Espanha,Outros
172,Loja 172,Cairo,Chile,Outros
173,Loja 173,Cidade do México,Portugal,Outros
174,Loja 174,Trípoli,Brasil,Nordeste
175,Loja 175,Johannesburg,Estados Unidos,Oeste
176,Loja 176,Kyoto,Portugal,Outros
177,Loja 177,Nairobi,Brasil,Nordeste
178,Loja 178,Cairo,Japão,Outros
